time,download
1659352728.0,27.60
1659352812.0,144.00
1659352914.0,144.00
1659352992.0,144.00
1659353028.0,27.80
1659353040.0,144.00
1659353106.0,144.00
1659353220.0,144.00
1659353274.0,144.00
1659353298.0,144.00
1659353328.0,1.31
1659353400.0,144.00
1659353586.0,144.00
1659353628.0,27.60
1659353646.0,144.00
1659353760.0,672.00
1659353886.0,144.00
1659353952.0,144.00
1659354006.0,288.00
1659354060.0,672.00
1659354180.0,18.20
1659354342.0,336.00
1659354360.0,672.00
1659354654.0,336.00
1659354660.0,336.00
1659354678.0,336.00
1659354696.0,336.00
1659354894.0,176.00
1659354948.0,336.00
1659355296.0,336.00
1659355320.0,336.00
1659355362.0,144.00
1659355368.0,144.00
1659355434.0,144.00
1659355482.0,144.00
1659355668.0,144.00
1659355674.0,144.00
1659355788.0,288.00
1659355830.0,144.00
1659355914.0,144.00
1659355962.0,144.00
1659356028.0,144.00
1659356088.0,144.00
1659356094.0,144.00
1659356136.0,144.00
1659356220.0,144.00
1659356268.0,144.00
1659356322.0,288.00
1659356382.0,144.00
1659356388.0,144.00
1659356448.0,144.00
1659356514.0,144.00
1659356568.0,144.00
1659356634.0,144.00
1659356688.0,144.00
1659356748.0,144.00
1659356754.0,672.00
1659356760.0,1.31
1659356766.0,336.00
1659356772.0,336.00
1659356778.0,0.98
1659356784.0,672.00
1659356802.0,672.00
1659356808.0,336.00
1659356814.0,480.00
1659356820.0,336.00
1659356838.0,336.00
1659356928.0,144.00
1659356988.0,144.00
1659356994.0,144.00
1659357048.0,144.00
1659357054.0,336.00
1659357060.0,672.00
1659357066.0,336.00
1659357072.0,672.00
1659357078.0,336.00
1659357084.0,336.00
1659357090.0,336.00
1659357096.0,1.45
1659357102.0,336.00
1659357108.0,0.98
1659357114.0,480.00
1659357132.0,336.00
1659357138.0,672.00
1659357168.0,144.00
1659357228.0,144.00
1659357288.0,2.14
1659357294.0,1.97
1659357300.0,416.00
1659357306.0,3.54
1659357318.0,1.05
1659357324.0,832.00
1659357348.0,480.00
1659357354.0,336.00
1659357360.0,672.00
1659357366.0,672.00
1659357372.0,0.98
1659357378.0,672.00
1659357390.0,672.00
1659357396.0,336.00
1659357402.0,672.00
1659357408.0,336.00
1659357414.0,816.00
1659357432.0,336.00
1659357528.0,144.00
1659357588.0,144.00
1659357660.0,336.00
1659357666.0,672.00
1659357672.0,1.64
1659357678.0,0.98
1659357684.0,336.00
1659357690.0,336.00
1659357696.0,672.00
1659357702.0,672.00
1659357708.0,336.00
1659357720.0,336.00
1659357732.0,672.00
1659357738.0,336.00
1659357786.0,1.49
1659357936.0,1.97
1659357942.0,1.64
1659357948.0,672.00
1659357954.0,336.00
1659357960.0,1.31
1659357966.0,1.64
1659357972.0,336.00
1659357978.0,336.00
1659357990.0,672.00
1659357996.0,336.00
1659358002.0,336.00
1659358014.0,336.00
1659358236.0,0.98
1659358242.0,336.00
1659358248.0,336.00
1659358254.0,672.00
1659358260.0,1.64
1659358266.0,1.64
1659358272.0,336.00
1659358278.0,336.00
1659358284.0,336.00
1659358302.0,336.00
1659358362.0,336.00
1659358530.0,336.00
1659358536.0,1.64
1659358542.0,1.64
1659358548.0,672.00
1659358554.0,336.00
1659358560.0,0.98
1659358566.0,1.64
1659358572.0,672.00
1659358584.0,336.00
1659358596.0,336.00
1659358608.0,336.00
1659358614.0,336.00
1659358836.0,1.31
1659358842.0,1.31
1659358848.0,816.00
1659358854.0,672.00
1659358860.0,1.64
1659358872.0,0.98
1659358884.0,0.98
1659358890.0,672.00
1659358908.0,336.00
1659358914.0,672.00
1659358926.0,336.00
1659358944.0,336.00
1659358950.0,336.00
1659359136.0,336.00
1659359160.0,336.00
1659359184.0,336.00
1659359196.0,672.00
1659359202.0,336.00
1659359208.0,672.00
1659359214.0,144.00
1659359268.0,144.00
1659359328.0,288.00
1659359388.0,144.00
1659359448.0,144.00
1659359454.0,336.00
1659359460.0,336.00
1659359466.0,336.00
1659359472.0,672.00
1659359478.0,336.00
1659359484.0,336.00
1659359490.0,0.98
1659359496.0,336.00
1659359508.0,816.00
1659359568.0,144.00
1659359628.0,144.00
1659359688.0,144.00
1659359766.0,336.00
1659359772.0,672.00
1659359778.0,0.98
1659359796.0,672.00
1659359808.0,336.00
1659359868.0,288.00
1659359928.0,144.00
1659360060.0,336.00
1659360084.0,336.00
1659360138.0,176.00
1659360168.0,144.00
1659360228.0,144.00
1659360360.0,336.00
1659360372.0,336.00
1659360378.0,336.00
1659360384.0,336.00
1659360390.0,336.00
1659360918.0,144.00
1659361134.0,51.90
1659361218.0,144.00
1659361302.0,144.00
1659361434.0,26.50
1659361818.0,144.00
1659361830.0,144.00
1659362058.0,144.00
1659362184.0,144.00
1659362334.0,4.08
1659362472.0,336.00
1659362484.0,672.00
1659362490.0,336.00
1659362634.0,27.80
1659362772.0,336.00
1659362778.0,336.00
1659362790.0,672.00
1659362802.0,672.00
1659362808.0,336.00
1659362814.0,336.00
1659362832.0,144.00
1659362874.0,144.00
1659362934.0,27.80
1659363066.0,336.00
1659363072.0,672.00
